Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
23.008	0.10000	997.54	0.0010025	96.489	96.589	0.33917	4.1453	4.1822	1491.2	-0.22282	931.95	0.60321	liquid
23.208	0.10000	997.49	0.0010025	97.325	97.426	0.34199	4.1446	4.1821	1491.8	-0.22268	927.60	0.60354	liquid
23.408	0.10000	997.44	0.0010026	98.162	98.262	0.34481	4.1438	4.1820	1492.3	-0.22254	923.28	0.60388	liquid
23.608	0.10000	997.39	0.0010026	98.998	99.098	0.34763	4.1430	4.1819	1492.9	-0.22241	918.99	0.60421	liquid
23.808	0.10000	997.35	0.0010027	99.834	99.935	0.35045	4.1422	4.1818	1493.5	-0.22227	914.74	0.60455	liquid
24.008	0.10000	997.30	0.0010027	100.67	100.77	0.35326	4.1415	4.1818	1494.0	-0.22214	910.51	0.60488	liquid
24.208	0.10000	997.25	0.0010028	101.51	101.61	0.35608	4.1407	4.1817	1494.6	-0.22200	906.32	0.60521	liquid
24.408	0.10000	997.20	0.0010028	102.34	102.44	0.35889	4.1399	4.1816	1495.1	-0.22187	902.16	0.60554	liquid
24.608	0.10000	997.15	0.0010029	103.18	103.28	0.36170	4.1391	4.1815	1495.6	-0.22173	898.03	0.60587	liquid
24.808	0.10000	997.10	0.0010029	104.02	104.12	0.36451	4.1383	4.1814	1496.2	-0.22160	893.93	0.60620	liquid
25.008	0.10000	997.05	0.0010030	104.85	104.95	0.36731	4.1375	4.1813	1496.7	-0.22146	889.86	0.60653	liquid
25.208	0.10000	996.99	0.0010030	105.69	105.79	0.37011	4.1367	4.1812	1497.3	-0.22133	885.82	0.60685	liquid
25.408	0.10000	996.94	0.0010031	106.52	106.62	0.37292	4.1360	4.1812	1497.8	-0.22119	881.81	0.60718	liquid
25.608	0.10000	996.89	0.0010031	107.36	107.46	0.37572	4.1352	4.1811	1498.3	-0.22106	877.83	0.60751	liquid
25.808	0.10000	996.84	0.0010032	108.20	108.30	0.37851	4.1344	4.1810	1498.8	-0.22093	873.88	0.60783	liquid
26.008	0.10000	996.78	0.0010032	109.03	109.13	0.38131	4.1336	4.1809	1499.4	-0.22079	869.96	0.60815	liquid
26.208	0.10000	996.73	0.0010033	109.87	109.97	0.38410	4.1328	4.1809	1499.9	-0.22066	866.06	0.60847	liquid
26.408	0.10000	996.68	0.0010033	110.70	110.80	0.38690	4.1320	4.1808	1500.4	-0.22053	862.19	0.60879	liquid
26.608	0.10000	996.62	0.0010034	111.54	111.64	0.38969	4.1312	4.1807	1500.9	-0.22040	858.36	0.60911	liquid
26.808	0.10000	996.57	0.0010034	112.38	112.48	0.39247	4.1303	4.1807	1501.4	-0.22026	854.54	0.60943	liquid
27.008	0.10000	996.51	0.0010035	113.21	113.31	0.39526	4.1295	4.1806	1501.9	-0.22013	850.76	0.60975	liquid
27.208	0.10000	996.46	0.0010036	114.05	114.15	0.39804	4.1287	4.1805	1502.4	-0.22000	847.00	0.61007	liquid
27.408	0.10000	996.40	0.0010036	114.88	114.99	0.40083	4.1279	4.1805	1502.9	-0.21987	843.27	0.61038	liquid
27.608	0.10000	996.35	0.0010037	115.72	115.82	0.40361	4.1271	4.1804	1503.4	-0.21974	839.57	0.61070	liquid
27.808	0.10000	996.29	0.0010037	116.56	116.66	0.40639	4.1263	4.1803	1503.9	-0.21961	835.89	0.61101	liquid
28.008	0.10000	996.23	0.0010038	117.39	117.49	0.40916	4.1255	4.1803	1504.4	-0.21948	832.24	0.61132	liquid
28.208	0.10000	996.18	0.0010038	118.23	118.33	0.41194	4.1247	4.1802	1504.9	-0.21935	828.61	0.61164	liquid
28.408	0.10000	996.12	0.0010039	119.06	119.17	0.41471	4.1238	4.1802	1505.4	-0.21922	825.01	0.61195	liquid
28.608	0.10000	996.06	0.0010040	119.90	120.00	0.41748	4.1230	4.1801	1505.9	-0.21909	821.44	0.61226	liquid
28.808	0.10000	996.00	0.0010040	120.74	120.84	0.42025	4.1222	4.1801	1506.3	-0.21896	817.89	0.61257	liquid
29.008	0.10000	995.94	0.0010041	121.57	121.67	0.42302	4.1214	4.1800	1506.8	-0.21883	814.36	0.61288	liquid
29.208	0.10000	995.89	0.0010041	122.41	122.51	0.42579	4.1205	4.1800	1507.3	-0.21870	810.86	0.61318	liquid
29.408	0.10000	995.83	0.0010042	123.24	123.34	0.42855	4.1197	4.1799	1507.8	-0.21857	807.38	0.61349	liquid
29.608	0.10000	995.77	0.0010043	124.08	124.18	0.43131	4.1189	4.1799	1508.2	-0.21844	803.93	0.61379	liquid
29.808	0.10000	995.71	0.0010043	124.92	125.02	0.43407	4.1180	4.1799	1508.7	-0.21831	800.50	0.61410	liquid
30.007	0.10000	995.65	0.0010044	125.75	125.85	0.43683	4.1172	4.1798	1509.2	-0.21819	797.09	0.61440	liquid
30.207	0.10000	995.59	0.0010044	126.59	126.69	0.43959	4.1164	4.1798	1509.6	-0.21806	793.71	0.61471	liquid
30.407	0.10000	995.53	0.0010045	127.42	127.52	0.44234	4.1155	4.1797	1510.1	-0.21793	790.35	0.61501	liquid
30.607	0.10000	995.46	0.0010046	128.26	128.36	0.44509	4.1147	4.1797	1510.5	-0.21780	787.02	0.61531	liquid
30.807	0.10000	995.40	0.0010046	129.10	129.20	0.44784	4.1138	4.1797	1511.0	-0.21768	783.70	0.61561	liquid
31.007	0.10000	995.34	0.0010047	129.93	130.03	0.45059	4.1130	4.1796	1511.4	-0.21755	780.41	0.61591	liquid
31.207	0.10000	995.28	0.0010047	130.77	130.87	0.45334	4.1121	4.1796	1511.9	-0.21742	777.15	0.61621	liquid
31.407	0.10000	995.22	0.0010048	131.60	131.70	0.45609	4.1113	4.1796	1512.3	-0.21730	773.90	0.61650	liquid
31.607	0.10000	995.15	0.0010049	132.44	132.54	0.45883	4.1105	4.1796	1512.8	-0.21717	770.67	0.61680	liquid
31.807	0.10000	995.09	0.0010049	133.27	133.38	0.46157	4.1096	4.1795	1513.2	-0.21704	767.47	0.61710	liquid
32.007	0.10000	995.03	0.0010050	134.11	134.21	0.46431	4.1088	4.1795	1513.6	-0.21692	764.29	0.61739	liquid
32.207	0.10000	994.96	0.0010051	134.95	135.05	0.46705	4.1079	4.1795	1514.1	-0.21679	761.13	0.61768	liquid
32.407	0.10000	994.90	0.0010051	135.78	135.88	0.46978	4.1070	4.1795	1514.5	-0.21667	757.99	0.61798	liquid
32.607	0.10000	994.83	0.0010052	136.62	136.72	0.47252	4.1062	4.1794	1514.9	-0.21654	754.87	0.61827	liquid
32.807	0.10000	994.77	0.0010053	137.45	137.55	0.47525	4.1053	4.1794	1515.4	-0.21642	751.78	0.61856	liquid
33.007	0.10000	994.70	0.0010053	138.29	138.39	0.47798	4.1045	4.1794	1515.8	-0.21629	748.70	0.61885	liquid
33.207	0.10000	994.64	0.0010054	139.13	139.23	0.48071	4.1036	4.1794	1516.2	-0.21617	745.64	0.61914	liquid
33.407	0.10000	994.57	0.0010055	139.96	140.06	0.48344	4.1027	4.1794	1516.6	-0.21604	742.61	0.61943	liquid
33.607	0.10000	994.50	0.0010055	140.80	140.90	0.48616	4.1019	4.1793	1517.0	-0.21592	739.59	0.61972	liquid
33.807	0.10000	994.44	0.0010056	141.63	141.73	0.48889	4.1010	4.1793	1517.4	-0.21579	736.60	0.62001	liquid
34.007	0.10000	994.37	0.0010057	142.47	142.57	0.49161	4.1001	4.1793	1517.9	-0.21567	733.62	0.62029	liquid
