Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
-0.26667	0.10000	1.4117	0.70836	176.98	247.82	6.3293	0.65519	0.91666	314.66	3.1779	19.128	0.024328	vapor
1.7053e-13	0.10000	1.4103	0.70905	177.16	248.06	6.3302	0.65522	0.91669	314.81	3.1721	19.143	0.024349	vapor
0.26667	0.10000	1.4089	0.70975	177.33	248.31	6.3311	0.65525	0.91671	314.96	3.1664	19.158	0.024371	vapor
0.53333	0.10000	1.4076	0.71045	177.51	248.55	6.3320	0.65528	0.91674	315.12	3.1606	19.174	0.024392	vapor
0.80000	0.10000	1.4062	0.71114	177.68	248.80	6.3329	0.65530	0.91676	315.27	3.1549	19.189	0.024414	vapor
1.0667	0.10000	1.4048	0.71184	177.86	249.04	6.3338	0.65533	0.91679	315.42	3.1492	19.204	0.024435	vapor
1.3333	0.10000	1.4034	0.71253	178.03	249.28	6.3347	0.65536	0.91681	315.57	3.1435	19.219	0.024456	vapor
1.6000	0.10000	1.4021	0.71323	178.21	249.53	6.3355	0.65539	0.91684	315.72	3.1378	19.235	0.024478	vapor
1.8667	0.10000	1.4007	0.71392	178.38	249.77	6.3364	0.65542	0.91686	315.87	3.1321	19.250	0.024499	vapor
2.1333	0.10000	1.3994	0.71462	178.56	250.02	6.3373	0.65545	0.91689	316.03	3.1265	19.265	0.024521	vapor
2.4000	0.10000	1.3980	0.71531	178.73	250.26	6.3382	0.65548	0.91692	316.18	3.1208	19.280	0.024542	vapor
2.6667	0.10000	1.3966	0.71601	178.91	250.51	6.3391	0.65551	0.91694	316.33	3.1152	19.295	0.024564	vapor
2.9333	0.10000	1.3953	0.71670	179.08	250.75	6.3400	0.65554	0.91697	316.48	3.1095	19.311	0.024585	vapor
3.2000	0.10000	1.3939	0.71740	179.26	251.00	6.3409	0.65557	0.91700	316.63	3.1039	19.326	0.024606	vapor
3.4667	0.10000	1.3926	0.71809	179.43	251.24	6.3418	0.65560	0.91702	316.78	3.0983	19.341	0.024628	vapor
3.7333	0.10000	1.3912	0.71879	179.61	251.48	6.3426	0.65563	0.91705	316.93	3.0927	19.356	0.024649	vapor
4.0000	0.10000	1.3899	0.71948	179.78	251.73	6.3435	0.65566	0.91708	317.09	3.0872	19.371	0.024671	vapor
4.2667	0.10000	1.3886	0.72018	179.96	251.97	6.3444	0.65570	0.91710	317.24	3.0816	19.387	0.024692	vapor
4.5333	0.10000	1.3872	0.72087	180.13	252.22	6.3453	0.65573	0.91713	317.39	3.0761	19.402	0.024714	vapor
4.8000	0.10000	1.3859	0.72157	180.31	252.46	6.3462	0.65576	0.91716	317.54	3.0705	19.417	0.024735	vapor
5.0667	0.10000	1.3845	0.72226	180.48	252.71	6.3470	0.65579	0.91719	317.69	3.0650	19.432	0.024756	vapor
5.3333	0.10000	1.3832	0.72296	180.66	252.95	6.3479	0.65582	0.91721	317.84	3.0595	19.447	0.024778	vapor
5.6000	0.10000	1.3819	0.72365	180.83	253.20	6.3488	0.65585	0.91724	317.99	3.0540	19.462	0.024799	vapor
