Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.10000	22.800	17.574	0.056902	2386.4	3683.8	29.586	10.271	14.721	1469.5	-0.39286	8.8807	0.19260	supercritical
0.10000	23.000	17.707	0.056476	2386.0	3684.9	29.549	10.273	14.724	1471.4	-0.39379	8.8872	0.19277	supercritical
0.10000	23.200	17.839	0.056058	2385.5	3686.1	29.512	10.275	14.727	1473.2	-0.39471	8.8938	0.19294	supercritical
0.10000	23.400	17.971	0.055646	2385.1	3687.2	29.475	10.276	14.729	1475.1	-0.39563	8.9004	0.19311	supercritical
0.10000	23.600	18.102	0.055242	2384.7	3688.4	29.439	10.278	14.732	1477.0	-0.39654	8.9071	0.19328	supercritical
0.10000	23.800	18.234	0.054844	2384.3	3689.6	29.403	10.280	14.735	1478.9	-0.39745	8.9137	0.19345	supercritical
0.10000	24.000	18.364	0.054453	2383.9	3690.8	29.367	10.281	14.737	1480.8	-0.39835	8.9204	0.19362	supercritical
0.10000	24.200	18.495	0.054069	2383.5	3691.9	29.332	10.283	14.740	1482.6	-0.39924	8.9271	0.19379	supercritical
0.10000	24.400	18.625	0.053691	2383.1	3693.1	29.297	10.285	14.743	1484.5	-0.40012	8.9339	0.19396	supercritical
0.10000	24.600	18.755	0.053319	2382.7	3694.3	29.262	10.286	14.745	1486.4	-0.40100	8.9406	0.19413	supercritical
0.10000	24.800	18.885	0.052953	2382.3	3695.5	29.227	10.288	14.748	1488.3	-0.40187	8.9474	0.19431	supercritical
0.10000	25.000	19.014	0.052593	2381.8	3696.7	29.193	10.290	14.750	1490.1	-0.40273	8.9542	0.19448	supercritical
0.10000	25.200	19.143	0.052238	2381.4	3697.9	29.159	10.291	14.753	1492.0	-0.40359	8.9611	0.19466	supercritical
0.10000	25.400	19.272	0.051890	2381.0	3699.0	29.125	10.293	14.755	1493.9	-0.40444	8.9679	0.19483	supercritical
0.10000	25.600	19.400	0.051547	2380.6	3700.2	29.092	10.295	14.758	1495.8	-0.40529	8.9748	0.19501	supercritical
0.10000	25.800	19.528	0.051209	2380.3	3701.4	29.059	10.297	14.760	1497.6	-0.40612	8.9817	0.19519	supercritical
0.10000	26.000	19.656	0.050876	2379.9	3702.6	29.026	10.298	14.763	1499.5	-0.40696	8.9886	0.19536	supercritical
0.10000	26.200	19.783	0.050549	2379.5	3703.8	28.993	10.300	14.765	1501.4	-0.40778	8.9955	0.19554	supercritical
0.10000	26.400	19.910	0.050226	2379.1	3705.0	28.960	10.302	14.768	1503.3	-0.40860	9.0025	0.19572	supercritical
0.10000	26.600	20.037	0.049908	2378.7	3706.3	28.928	10.303	14.770	1505.1	-0.40941	9.0095	0.19590	supercritical
0.10000	26.800	20.163	0.049596	2378.3	3707.5	28.896	10.305	14.772	1507.0	-0.41022	9.0165	0.19608	supercritical
0.10000	27.000	20.289	0.049287	2377.9	3708.7	28.864	10.307	14.775	1508.9	-0.41102	9.0235	0.19626	supercritical
0.10000	27.200	20.415	0.048984	2377.5	3709.9	28.833	10.308	14.777	1510.8	-0.41182	9.0306	0.19644	supercritical
0.10000	27.400	20.540	0.048685	2377.2	3711.1	28.802	10.310	14.779	1512.6	-0.41261	9.0376	0.19662	supercritical
0.10000	27.600	20.666	0.048390	2376.8	3712.3	28.771	10.312	14.782	1514.5	-0.41339	9.0447	0.19680	supercritical
0.10000	27.800	20.790	0.048099	2376.4	3713.6	28.740	10.313	14.784	1516.4	-0.41417	9.0518	0.19699	supercritical
0.10000	28.000	20.915	0.047813	2376.0	3714.8	28.709	10.315	14.786	1518.2	-0.41494	9.0590	0.19717	supercritical
0.10000	28.200	21.039	0.047530	2375.7	3716.0	28.679	10.317	14.789	1520.1	-0.41570	9.0661	0.19735	supercritical
0.10000	28.400	21.163	0.047252	2375.3	3717.2	28.649	10.318	14.791	1522.0	-0.41646	9.0733	0.19754	supercritical
0.10000	28.600	21.287	0.046978	2374.9	3718.5	28.619	10.320	14.793	1523.9	-0.41722	9.0805	0.19772	supercritical
0.10000	28.800	21.410	0.046707	2374.5	3719.7	28.589	10.322	14.795	1525.7	-0.41796	9.0877	0.19791	supercritical
0.10000	29.000	21.533	0.046440	2374.2	3720.9	28.559	10.323	14.797	1527.6	-0.41871	9.0949	0.19809	supercritical
0.10000	29.200	21.656	0.046177	2373.8	3722.2	28.530	10.325	14.800	1529.5	-0.41944	9.1021	0.19828	supercritical
0.10000	29.400	21.778	0.045918	2373.5	3723.4	28.501	10.327	14.802	1531.3	-0.42017	9.1094	0.19847	supercritical
0.10000	29.600	21.900	0.045662	2373.1	3724.7	28.472	10.328	14.804	1533.2	-0.42090	9.1167	0.19865	supercritical
0.10000	29.800	22.022	0.045409	2372.7	3725.9	28.443	10.330	14.806	1535.1	-0.42162	9.1240	0.19884	supercritical
0.10000	30.000	22.143	0.045160	2372.4	3727.2	28.414	10.332	14.808	1536.9	-0.42234	9.1313	0.19903	supercritical
0.10000	30.200	22.265	0.044914	2372.0	3728.4	28.386	10.333	14.810	1538.8	-0.42305	9.1386	0.19922	supercritical
0.10000	30.400	22.386	0.044672	2371.7	3729.7	28.358	10.335	14.812	1540.7	-0.42375	9.1460	0.19941	supercritical
0.10000	30.600	22.506	0.044432	2371.3	3730.9	28.330	10.337	14.814	1542.5	-0.42445	9.1534	0.19960	supercritical
0.10000	30.800	22.627	0.044196	2371.0	3732.2	28.302	10.338	14.816	1544.4	-0.42515	9.1608	0.19979	supercritical
0.10000	31.000	22.747	0.043963	2370.6	3733.5	28.274	10.340	14.818	1546.2	-0.42583	9.1682	0.19998	supercritical
0.10000	31.200	22.866	0.043732	2370.3	3734.7	28.247	10.341	14.820	1548.1	-0.42652	9.1756	0.20017	supercritical
0.10000	31.400	22.986	0.043505	2369.9	3736.0	28.220	10.343	14.822	1550.0	-0.42720	9.1830	0.20037	supercritical
0.10000	31.600	23.105	0.043281	2369.6	3737.3	28.192	10.345	14.824	1551.8	-0.42787	9.1905	0.20056	supercritical
0.10000	31.800	23.224	0.043059	2369.2	3738.5	28.166	10.346	14.826	1553.7	-0.42854	9.1980	0.20075	supercritical
0.10000	32.000	23.342	0.042841	2368.9	3739.8	28.139	10.348	14.828	1555.5	-0.42920	9.2054	0.20094	supercritical
0.10000	32.200	23.461	0.042625	2368.6	3741.1	28.112	10.350	14.830	1557.4	-0.42986	9.2130	0.20114	supercritical
0.10000	32.400	23.579	0.042411	2368.2	3742.3	28.086	10.351	14.832	1559.3	-0.43052	9.2205	0.20133	supercritical
0.10000	32.600	23.696	0.042201	2367.9	3743.6	28.059	10.353	14.834	1561.1	-0.43117	9.2280	0.20153	supercritical
